service_name,service_type,city,package_price,rating,image
Gourmet Feast Caterers,Catering,Mumbai,50000,4.8,/event-images/event-img01.jpg
Spicy Bites Catering,Catering,Mumbai,35000,4.4,/event-images/event-img02.jpg
Royal Feast Banquet Buffet,Catering,Mumbai,95000,4.9,/event-images/event-img03.jpg
Gateway Cuisines,Catering,Mumbai,60000,4.6,/event-images/event-img07.jpg
Marine Drive Buffet,Catering,Mumbai,80000,4.7,/event-images/event-img08.jpg
Elite Dream Decorators,Decoration,Mumbai,40000,4.7,/event-images/event-img04.jpg
Vibrant Floral Decors,Decoration,Mumbai,25000,4.3,/event-images/event-img05.jpg
Sparkling Lights & Themes,Decoration,Mumbai,65000,4.8,/event-images/event-img06.jpg
Juhu Rose Decors,Decoration,Mumbai,30000,4.4,/event-images/event-img09.jpg
Bollywood Theme Stylists,Decoration,Mumbai,75000,4.8,/event-images/event-img10.jpg
Capital Catering Co,Catering,Delhi,60000,4.7,/event-images/event-img07.jpg
Delhi Delights Buffet,Catering,Delhi,40000,4.5,/event-images/event-img08.jpg
Shahi Darbar Catering,Catering,Delhi,110000,4.9,/event-images/event-img09.jpg
Chandni Chowk Banquet Food,Catering,Delhi,30000,4.3,/event-images/event-img11.jpg
Mughal Emperor Feast,Catering,Delhi,90000,4.8,/event-images/event-img12.jpg
Red Carpet Decorators,Decoration,Delhi,50000,4.6,/event-images/event-img10.jpg
Traditional Touch Decors,Decoration,Delhi,30000,4.2,/event-images/event-img11.jpg
Grand Theme Events Delhi,Decoration,Delhi,80000,4.8,/event-images/event-img12.jpg
Lotus Flower Stage Decor,Decoration,Delhi,45000,4.5,/event-images/event-img13.jpg
Delhi Premium Lighting Stylists,Decoration,Delhi,70000,4.7,/event-images/event-img14.jpg
Silicon Valley Caterers,Catering,Bangalore,55000,4.6,/event-images/event-img13.jpg
Southern Spices Dining,Catering,Bangalore,30000,4.4,/event-images/event-img14.jpg
The Regal Buffet Bangalore,Catering,Bangalore,85000,4.8,/event-images/event-img15.jpg
Royal Palace Caterers,Catering,Bangalore,70000,4.7,/event-images/event-img15.jpg
Garden City Buffet Services,Catering,Bangalore,45000,4.5,/event-images/event-img01.jpg
Green Floral Bangalore,Decoration,Bangalore,35000,4.5,/event-images/event-img01.jpg
Neon Theme Stage Decorators,Decoration,Bangalore,60000,4.7,/event-images/event-img02.jpg
Minimalist Chic Event Decors,Decoration,Bangalore,20000,4.1,/event-images/event-img03.jpg
Tech City Event Designers,Decoration,Bangalore,50000,4.6,/event-images/event-img02.jpg
Luxury Rose Gold Decorators,Decoration,Bangalore,80000,4.9,/event-images/event-img03.jpg
Bengali Royal Caterers,Catering,Kolkata,45000,4.9,/event-images/event-img04.jpg
Kolkata Spice Buffet,Catering,Kolkata,30000,4.3,/event-images/event-img05.jpg
Rosogolla Feast Services,Catering,Kolkata,75000,4.8,/event-images/event-img06.jpg
Howrah Bridge Catering Co,Catering,Kolkata,50000,4.6,/event-images/event-img04.jpg
Hooghly Riverside Feast,Catering,Kolkata,65000,4.7,/event-images/event-img05.jpg
Elegance Weddings Kolkata,Decoration,Kolkata,50000,4.7,/event-images/event-img07.jpg
Artistic Theme Designers,Decoration,Kolkata,25000,4.2,/event-images/event-img08.jpg
Sweet Orchid Floral Decors,Decoration,Kolkata,60000,4.6,/event-images/event-img09.jpg
Traditional Bengali Mandap Decors,Decoration,Kolkata,35000,4.5,/event-images/event-img06.jpg
Modern Glow Event Designers,Decoration,Kolkata,80000,4.8,/event-images/event-img07.jpg
